ID,DATE,USER_ID,NGO_ID,NO_OF_PACKAGES,STATUS
355,12/03/2020,1276,13,2,Requested
356,30/04/2020,1309,1,2,Requested
357,04/03/2020,1991,1,1,Completed
358,06/04/2020,1173,19,1,Requested
359,12/04/2020,1733,1,1,Requested
360,20/02/2020,54,9,1,Requested
361,26/02/2020,1779,10,1,Requested
362,29/04/2020,4277,1,2,Requested
363,04/02/2020,3232,16,2,Requested
364,11/03/2020,575,16,1,Requested
365,04/02/2020,3267,5,2,Requested
366,30/03/2020,30,14,1,Requested
367,08/04/2020,1854,14,2,Requested
368,29/02/2020,2806,5,1,Requested
369,28/04/2020,493,5,1,Requested
370,23/03/2020,1913,17,1,Requested
371,09/03/2020,2262,12,1,Completed
372,08/02/2020,4078,7,2,Requested
373,23/04/2020,3382,7,2,Requested
374,09/03/2020,1365,18,1,Requested
375,28/04/2020,3944,16,1,Requested
376,15/02/2020,2528,3,2,Requested
377,20/04/2020,1322,4,1,Completed
378,13/02/2020,728,6,1,Requested
379,14/03/2020,2124,19,2,Completed
380,18/02/2020,2862,16,2,Requested
381,14/04/2020,77,2,1,Requested
382,16/03/2020,1825,2,2,Completed
383,28/03/2020,1798,7,1,Completed
384,04/04/2020,4120,11,2,Requested
385,20/03/2020,1539,3,2,Completed
386,12/02/2020,719,16,2,Completed
387,30/04/2020,1545,3,1,Completed
388,18/04/2020,319,15,2,Requested
389,23/04/2020,2181,14,1,Requested
390,02/04/2020,1175,4,2,Requested
391,04/02/2020,3884,7,1,Requested
392,21/04/2020,2619,8,2,Requested
393,11/02/2020,3503,12,2,Completed
394,10/03/2020,3705,7,2,Requested
395,22/04/2020,914,3,2,Completed
396,03/03/2020,845,3,2,Requested
397,24/04/2020,4097,10,2,Completed
398,14/04/2020,782,14,1,Completed
399,04/03/2020,442,7,2,Requested
400,19/03/2020,4115,12,1,Requested
401,19/03/2020,2000,5,1,Requested
402,20/03/2020,1228,19,2,Requested
403,20/03/2020,2534,9,2,Requested
404,16/04/2020,3594,17,2,Requested
405,20/02/2020,2980,3,2,Requested
406,01/04/2020,168,17,1,Completed
407,21/02/2020,2822,17,1,Requested
408,15/03/2020,3538,15,1,Completed
409,21/02/2020,3348,8,2,Requested
410,24/04/2020,554,19,1,Requested
411,10/03/2020,1498,2,2,Requested
412,27/03/2020,3456,18,2,Requested
413,06/02/2020,656,8,1,Completed
414,24/04/2020,594,8,1,Completed
415,06/03/2020,1891,16,2,Requested
416,23/03/2020,1940,14,1,Completed
417,09/03/2020,1013,4,2,Completed
418,17/03/2020,282,16,1,Requested
419,14/03/2020,287,2,1,Completed
420,22/02/2020,2817,15,2,Requested
421,07/03/2020,2022,17,2,Completed
422,16/04/2020,1299,3,2,Requested
423,31/03/2020,982,13,2,Requested
424,18/04/2020,766,19,2,Requested
425,09/02/2020,2216,18,2,Requested
426,23/02/2020,2658,5,2,Completed
427,03/03/2020,925,9,2,Requested
428,10/03/2020,1712,6,2,Requested
429,11/02/2020,163,17,2,Requested
430,29/03/2020,3992,7,2,Requested
431,10/03/2020,2947,19,1,Requested
432,27/03/2020,2921,8,1,Requested
433,18/03/2020,3719,14,1,Completed
434,17/04/2020,3774,3,2,Requested
435,06/02/2020,1335,8,2,Completed
436,13/02/2020,3966,17,2,Requested
437,08/04/2020,2292,18,1,Requested
438,02/02/2020,1240,9,2,Requested
439,12/02/2020,1548,14,1,Completed
440,15/04/2020,692,12,2,Requested
441,22/04/2020,2895,9,1,Completed
442,10/04/2020,1466,8,2,Requested
443,13/04/2020,3770,6,2,Completed
444,04/03/2020,2315,14,2,Requested
445,12/02/2020,1629,11,1,Requested
446,29/02/2020,4162,1,2,Completed
447,28/02/2020,1017,1,2,Requested
448,03/02/2020,2618,11,1,Completed
449,21/03/2020,4076,15,2,Requested
450,08/03/2020,3226,18,1,Completed
451,02/03/2020,2974,11,2,Requested
452,21/04/2020,3430,9,2,Requested
453,17/03/2020,1081,7,1,Requested
454,28/03/2020,1838,12,1,Requested
455,08/03/2020,1377,3,2,Completed
456,04/04/2020,2753,14,2,Requested
457,27/02/2020,2134,2,1,Requested
458,17/03/2020,822,12,1,Requested
459,19/03/2020,1545,5,2,Requested
460,06/03/2020,4004,12,1,Requested
461,09/03/2020,1902,12,2,Requested
462,29/03/2020,987,3,2,Requested
463,27/03/2020,1757,4,2,Requested
464,13/02/2020,437,18,1,Requested
465,27/02/2020,863,6,1,Completed
466,18/02/2020,3566,8,1,Requested
467,25/02/2020,1174,6,2,Requested
468,10/04/2020,71,4,2,Completed
469,07/03/2020,3925,17,2,Completed
470,04/03/2020,1011,10,1,Requested
471,23/03/2020,1397,17,1,Completed
472,25/04/2020,1780,4,1,Requested
473,13/03/2020,2984,15,2,Requested
474,25/04/2020,4362,3,1,Requested
475,16/03/2020,531,13,1,Requested
476,21/02/2020,2256,2,1,Requested
477,13/02/2020,2262,6,2,Completed
478,17/02/2020,3999,7,2,Requested
479,09/02/2020,1398,10,1,Completed
480,09/02/2020,2338,14,1,Completed
481,22/02/2020,461,4,2,Requested
482,21/02/2020,2434,15,1,Requested
483,03/04/2020,1969,17,1,Completed
484,02/02/2020,2127,17,1,Completed
485,13/03/2020,1529,17,2,Completed
486,30/03/2020,2355,15,1,Requested
487,20/03/2020,1801,7,1,Requested
488,02/03/2020,2218,18,2,Requested
489,15/03/2020,1089,17,1,Requested
490,27/03/2020,1931,11,1,Requested
491,24/02/2020,2520,5,1,Completed
492,22/02/2020,1655,14,2,Requested
493,05/03/2020,1506,10,1,Requested
494,21/02/2020,245,10,1,Completed
495,02/04/2020,130,5,1,Requested
496,28/02/2020,2803,4,2,Requested
497,24/03/2020,3027,3,2,Requested
498,30/03/2020,1912,8,2,Requested
499,14/02/2020,4139,15,2,Requested
500,21/03/2020,1659,9,2,Completed
501,12/03/2020,1219,5,1,Completed
502,26/02/2020,2423,13,2,Completed
503,26/04/2020,1754,19,1,Requested
504,02/04/2020,1799,6,2,Requested
505,10/03/2020,1440,9,2,Requested
506,08/04/2020,2195,9,2,Requested
507,30/03/2020,3851,3,1,Requested
508,02/03/2020,4289,12,2,Requested
509,18/02/2020,375,16,1,Requested
510,07/03/2020,2726,7,2,Requested
511,15/04/2020,1194,12,2,Completed
512,21/02/2020,3214,14,1,Requested
513,14/04/2020,987,15,1,Requested
514,19/04/2020,2881,13,2,Requested
515,07/03/2020,1982,16,2,Requested
516,16/02/2020,550,3,1,Requested
517,12/03/2020,2400,9,2,Requested
518,25/02/2020,276,4,1,Completed
519,23/03/2020,2375,9,2,Requested
520,03/04/2020,3019,5,2,Requested
521,18/04/2020,4370,17,2,Completed
522,18/04/2020,4173,15,2,Requested
523,09/04/2020,1998,5,2,Completed
524,24/04/2020,1027,4,2,Completed
525,16/02/2020,3190,1,1,Requested
526,06/04/2020,1933,8,2,Completed
527,03/02/2020,1148,7,1,Requested
528,24/04/2020,1004,10,2,Requested
529,04/02/2020,1425,7,1,Completed
530,04/04/2020,2093,2,2,Requested
531,17/03/2020,392,5,1,Requested
532,08/03/2020,3653,4,1,Completed
533,27/03/2020,733,13,2,Requested
534,08/04/2020,1962,13,2,Completed
535,20/02/2020,353,10,1,Requested
536,23/03/2020,1841,5,2,Completed
537,23/02/2020,1971,2,1,Requested
538,25/04/2020,1690,12,2,Requested
539,20/04/2020,2294,7,2,Requested
540,07/02/2020,875,13,2,Completed
541,18/03/2020,788,16,2,Requested
542,23/02/2020,2117,12,2,Requested
543,02/03/2020,1262,5,1,Requested
544,29/02/2020,2947,12,2,Requested
545,15/03/2020,2269,4,2,Completed
546,25/02/2020,2899,8,1,Completed
547,27/02/2020,4328,1,2,Completed
548,29/02/2020,2805,1,1,Requested
549,19/02/2020,2125,13,1,Requested
550,11/02/2020,1727,14,1,Requested
551,08/03/2020,907,2,1,Completed
552,19/04/2020,2806,4,1,Requested
553,16/04/2020,2965,9,2,Requested
554,26/03/2020,3935,12,1,Requested
555,08/02/2020,3924,13,1,Requested
556,02/02/2020,928,7,1,Completed
557,18/03/2020,1207,17,1,Completed
558,24/02/2020,2254,16,1,Requested
559,12/02/2020,1157,5,1,Requested
560,07/04/2020,1613,14,1,Requested
561,11/03/2020,2586,15,2,Requested
562,07/02/2020,1575,12,1,Requested
563,29/02/2020,4136,13,1,Requested
564,01/03/2020,3227,5,1,Requested
565,21/03/2020,2842,5,2,Requested
566,03/04/2020,2876,6,1,Completed
567,14/02/2020,284,19,1,Requested
568,17/04/2020,3337,10,2,Completed
569,27/04/2020,1106,13,1,Requested
570,01/04/2020,1452,2,2,Requested
571,28/03/2020,3962,11,2,Requested
572,23/03/2020,1650,19,2,Completed
573,14/03/2020,3048,16,1,Requested
574,01/03/2020,48,14,2,Requested
575,09/02/2020,3308,18,1,Requested
576,13/04/2020,3309,16,2,Requested
577,20/04/2020,1893,17,1,Completed
578,19/04/2020,1651,15,1,Requested
579,16/03/2020,3374,1,1,Completed
580,12/02/2020,3660,2,1,Requested
581,20/03/2020,4080,18,2,Requested
582,07/04/2020,4233,12,1,Requested
583,15/02/2020,2202,1,1,Requested
584,10/03/2020,3364,4,1,Requested
585,06/03/2020,1211,16,2,Requested
586,27/04/2020,1082,13,2,Requested
587,16/02/2020,3296,4,1,Requested
588,29/02/2020,224,3,2,Requested
589,14/02/2020,3343,9,2,Requested
590,16/04/2020,32,5,1,Requested
591,12/04/2020,2513,3,1,Requested
592,11/02/2020,146,16,2,Requested
593,14/03/2020,2553,4,1,Requested
594,20/02/2020,1880,13,2,Requested
595,28/03/2020,1369,5,1,Requested
596,28/02/2020,30,2,1,Requested
597,26/02/2020,17,18,2,Requested
598,14/02/2020,2918,1,1,Completed
599,01/04/2020,2242,13,2,Requested
600,15/03/2020,2808,3,2,Completed
601,03/03/2020,1637,14,1,Completed
602,09/03/2020,3706,19,2,Completed
603,02/02/2020,4380,3,2,Requested
604,25/03/2020,1629,16,2,Requested
605,19/03/2020,4292,2,1,Requested
606,24/04/2020,2865,6,1,Requested
607,29/03/2020,2999,7,2,Requested
608,23/03/2020,1699,6,2,Completed
609,24/02/2020,505,2,2,Requested
610,06/04/2020,3649,9,1,Completed
611,11/02/2020,3464,7,1,Requested
612,01/03/2020,1209,17,2,Requested
613,19/04/2020,3735,5,2,Requested
614,27/02/2020,451,16,2,Requested
615,25/03/2020,4281,3,1,Completed
616,05/03/2020,284,16,2,Requested
617,13/03/2020,4315,15,2,Requested
618,11/03/2020,4156,16,1,Requested
619,06/03/2020,4100,19,2,Completed
620,23/02/2020,681,5,2,Requested
621,07/03/2020,3718,11,2,Requested
622,12/03/2020,1193,15,2,Requested
623,16/03/2020,1950,2,2,Requested
624,08/03/2020,1900,1,1,Requested
625,17/03/2020,577,9,1,Completed
626,24/03/2020,1582,8,2,Requested
627,22/04/2020,3084,14,1,Completed
628,26/04/2020,1630,8,1,Requested
629,29/02/2020,1988,2,2,Requested
630,08/02/2020,721,12,1,Requested
631,26/03/2020,2300,4,2,Completed
632,08/02/2020,1798,5,2,Requested
633,25/03/2020,3279,17,2,Requested
634,16/03/2020,2100,12,1,Requested
635,24/02/2020,1111,10,2,Requested
636,29/02/2020,234,4,2,Requested
637,23/03/2020,1169,19,1,Completed
638,18/02/2020,219,15,2,Completed
639,18/03/2020,3736,17,1,Requested
640,28/02/2020,935,15,1,Requested
641,19/03/2020,2356,12,2,Requested
642,20/03/2020,3496,19,2,Requested
643,09/03/2020,154,3,2,Requested
644,14/03/2020,1143,2,2,Requested
645,18/02/2020,2224,17,2,Requested
646,10/03/2020,1649,14,2,Completed
647,29/03/2020,3496,18,2,Requested
648,28/02/2020,4093,19,1,Requested
649,15/04/2020,1866,17,1,Completed
650,24/04/2020,206,1,1,Requested
651,03/04/2020,1546,13,1,Requested
652,07/04/2020,2521,4,1,Completed
653,24/04/2020,733,14,2,Requested
654,08/02/2020,2527,8,1,Completed
655,27/02/2020,269,17,2,Requested
656,06/02/2020,827,9,2,Requested
657,19/02/2020,1321,13,1,Completed
658,20/04/2020,2088,16,1,Requested
659,10/02/2020,2743,15,1,Requested
660,01/02/2020,2600,12,1,Requested
661,11/04/2020,1835,3,2,Requested
662,02/02/2020,2138,14,2,Completed
663,30/03/2020,340,5,1,Completed
664,07/04/2020,1889,3,2,Requested
665,01/03/2020,413,17,1,Requested
666,20/04/2020,19,2,1,Requested
667,30/04/2020,786,13,2,Completed
668,11/04/2020,435,8,1,Requested
669,03/04/2020,4042,1,1,Requested
670,27/02/2020,1951,13,1,Requested
671,17/03/2020,3398,5,1,Requested
672,21/04/2020,437,4,2,Requested
673,09/03/2020,3968,17,2,Completed
674,05/02/2020,792,10,2,Completed
675,25/03/2020,1846,1,1,Completed
676,11/02/2020,790,18,2,Requested
677,09/04/2020,2103,17,1,Requested
678,21/03/2020,582,2,1,Requested
679,24/02/2020,1116,16,1,Requested
680,06/04/2020,2948,1,1,Requested
681,20/03/2020,440,7,1,Requested
682,04/03/2020,824,1,2,Requested
683,27/04/2020,1522,7,1,Completed
684,17/02/2020,1966,17,2,Requested
685,19/02/2020,1925,19,1,Requested
686,23/03/2020,1656,19,2,Requested
687,01/03/2020,1911,4,2,Requested
688,01/02/2020,1335,10,1,Requested
689,18/02/2020,583,8,1,Requested
690,04/02/2020,3355,9,2,Requested
691,03/02/2020,2934,8,1,Requested
692,02/03/2020,450,13,1,Requested
693,11/02/2020,1859,5,2,Completed
694,08/04/2020,2034,1,2,Requested
695,13/04/2020,3441,3,1,Requested
696,24/02/2020,274,7,2,Completed
697,07/03/2020,3720,10,2,Requested
698,05/03/2020,4147,6,1,Completed
699,15/02/2020,2312,18,1,Requested
700,15/04/2020,531,18,1,Requested
701,30/03/2020,4194,7,2,Requested
702,19/04/2020,269,2,1,Requested
703,24/03/2020,2149,17,1,Requested
704,24/03/2020,2045,19,2,Requested
705,17/04/2020,3653,12,1,Requested
706,16/03/2020,2391,9,1,Requested
707,14/04/2020,1458,10,1,Requested
708,08/03/2020,3864,10,2,Requested
709,18/03/2020,37,8,2,Requested
710,09/04/2020,3052,9,2,Completed
711,11/02/2020,1860,6,2,Completed
712,24/03/2020,287,1,1,Requested
713,06/02/2020,1419,6,1,Completed
714,18/03/2020,3187,17,2,Requested
715,03/04/2020,2010,5,2,Completed
716,18/03/2020,1186,16,1,Requested
717,08/02/2020,983,8,2,Requested
718,24/02/2020,3271,1,2,Requested
719,23/03/2020,3169,10,2,Completed
720,26/04/2020,1671,15,1,Requested
721,24/04/2020,664,10,2,Completed
722,25/02/2020,2667,13,2,Completed
723,09/03/2020,979,4,2,Requested
724,24/02/2020,2756,8,2,Completed
725,01/04/2020,2024,19,1,Requested
726,12/03/2020,1042,18,1,Requested
727,24/02/2020,370,9,2,Requested
728,22/04/2020,3382,18,2,Completed
729,15/04/2020,763,18,1,Requested
730,22/04/2020,1316,13,1,Completed
731,27/04/2020,3584,7,1,Requested
732,10/04/2020,1577,11,1,Requested
733,13/04/2020,3980,8,1,Requested
734,07/04/2020,336,5,2,Completed
735,26/04/2020,2466,15,2,Requested
736,11/03/2020,1773,9,1,Requested
737,25/02/2020,1524,18,1,Requested
738,05/04/2020,3035,15,1,Requested
739,07/04/2020,2984,7,2,Requested
740,17/04/2020,3358,15,2,Requested
741,28/03/2020,1586,9,2,Requested
742,24/03/2020,1527,12,2,Requested
743,25/04/2020,4066,11,1,Requested
744,20/03/2020,3951,9,2,Requested
745,23/04/2020,500,14,2,Requested
746,13/04/2020,276,5,2,Completed
747,23/04/2020,4260,9,1,Requested
748,05/04/2020,2646,1,1,Requested
749,31/03/2020,303,8,1,Requested
750,26/03/2020,4080,8,2,Requested
751,24/04/2020,2190,15,1,Requested
752,26/04/2020,1331,14,1,Requested
753,24/03/2020,2433,18,1,Completed
754,05/02/2020,298,14,1,Completed
755,12/03/2020,1608,5,1,Requested
756,03/02/2020,142,9,1,Requested
757,24/02/2020,1755,16,2,Requested
758,20/02/2020,298,8,1,Completed
759,05/02/2020,2824,8,2,Requested
760,15/03/2020,2185,16,2,Requested
761,28/02/2020,795,12,2,Requested
762,13/02/2020,718,17,2,Requested
763,13/02/2020,1092,8,2,Completed
764,06/03/2020,126,11,2,Requested
765,21/04/2020,297,13,1,Requested
766,10/02/2020,3025,6,2,Completed
767,17/04/2020,688,4,1,Requested
768,01/02/2020,3767,19,1,Completed
769,15/03/2020,4319,12,2,Completed
770,13/02/2020,79,7,2,Requested
771,04/03/2020,3429,10,2,Requested
772,07/04/2020,259,13,1,Requested
773,18/02/2020,1376,15,2,Requested
774,26/02/2020,3434,11,1,Requested
775,22/02/2020,798,5,1,Completed
776,05/03/2020,879,12,2,Requested
777,27/04/2020,89,10,1,Completed
778,10/04/2020,2079,19,2,Requested
779,09/04/2020,2664,15,2,Completed
780,22/03/2020,1801,6,1,Requested
781,07/03/2020,3019,1,2,Completed
782,24/04/2020,2427,15,1,Requested
783,08/03/2020,4194,11,2,Requested
784,12/03/2020,3302,6,1,Requested
785,26/04/2020,1861,9,2,Requested
786,25/02/2020,1049,5,1,Completed
787,16/02/2020,700,17,1,Completed
788,07/02/2020,310,19,1,Completed
789,13/04/2020,2154,18,2,Requested
790,02/02/2020,2250,2,2,Requested
791,15/03/2020,194,2,1,Requested
792,17/02/2020,1387,6,1,Requested
793,26/02/2020,3972,19,1,Requested
794,16/02/2020,2449,18,1,Completed
795,19/02/2020,3992,10,2,Requested
796,23/02/2020,1661,13,1,Completed
797,08/04/2020,404,14,1,Requested
798,11/03/2020,2702,4,1,Requested
799,07/03/2020,4102,18,1,Completed
800,01/04/2020,1079,10,1,Completed
801,18/04/2020,3188,19,2,Requested
802,25/03/2020,4208,3,2,Requested
803,04/04/2020,3510,9,1,Requested
